GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Manager,0,28,0,0,0,14,0,8,0,8
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Compra,8,15,0,0,4,6,2,3,2,3
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,TarjetaCredito,50,213,7,17,12,51,8,14,1,9
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Tarjeta,25,117,1,9,10,26,6,12,5,8
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Cuenta,37,317,4,28,12,83,9,28,5,16
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,TarjetaDebito,5,95,0,4,2,24,0,8,0,6
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,MovimientoTarjetaCredito,22,28,0,0,10,12,6,6,6,6
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,MovimientoCuenta,22,21,0,0,10,9,6,4,6,4
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Cliente,22,26,0,0,10,11,6,5,6,5
banco20193capas,edu.uclm.esi.iso2.banco20193capas,Lanzadora,30,3,0,0,11,1,1,1,1,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaYaCreadaException,4,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,TokenInvalidoException,3,0,0,0,1,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,PinInvalidoException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,LoginException,4,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoAutorizadoException,0,15,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaSinTitularesException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoEncontradoException,11,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaInvalidaException,0,13,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ImporteInvalidoException,0,13,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,TarjetaBloqueadaException,0,4,0,0,0,2,0,1,0,1
